#|num|weight|mean|covariance matrix|
|0|2391.06921494|112.517747467 20.6862660801 46.5906110069|20.4834390287 15.0618477043 9.09281819351 15.0618477043 28.433442638 14.3203375061 9.09281819351 14.3203375061 39.5201874892|
|1|2740.52156805|112.209173121 -0.801986015992 22.9539188489|22.236970816 3.04898373431 6.66981097357 3.04898373431 18.9439432456 10.0452160906 6.66981097357 10.0452160906 30.4538780328|
|2|1448.19682442|91.7971766233 3.4524980304 23.5163530228|23.5736306332 -6.38917728476 7.59387774003 -6.38917728476 12.3593068314 -6.42077288599 7.59387774003 -6.42077288599 21.9939246382|
|3|1908.81459682|119.355381321 48.8339560361 44.5859808633|18.7757686131 -5.85061261586 -6.07386960805 -5.85061261586 21.9233275359 2.52287467065 -6.07386960805 2.52287467065 18.057989361|
|4|2031.95484161|133.41321157 7.784215644 27.9030420607|48.875170656 -23.6344601677 -46.2399452598 -23.6344601677 19.7783914223 24.8910880056 -46.2399452598 24.8910880056 56.8068562159|
|5|3682.66218703|114.786627817 15.3301317966 31.0835638574|79.6688486131 52.479178366 39.6913575894 52.479178366 50.0405359507 28.6069987096 39.6913575894 28.6069987096 35.9275302837|
|6|1414.32691779|96.9195967391 9.45216875264 39.0428177934|46.1238401745 -1.80933738049 -12.4743578479 -1.80933738049 18.9780503115 14.496220963 -12.4743578479 14.496220963 26.6684541373|
|7|1900.63853159|125.259302762 35.5667497735 52.5274066135|37.0632918197 21.1276332701 1.12944751482 21.1276332701 31.98287944 5.24484102893 1.12944751482 5.24484102893 20.2290792527|
|8|777.409681695|106.171887625 4.37197915643 27.0770152296|32.6119194073 2.33535223987 2.03780100979 2.33535223987 37.3953639198 0.132024533073 2.03780100979 0.132024533073 22.003742064|
|9|1231.27100883|128.167760413 18.6393294667 49.6201270543|20.5474491127 -11.9835213373 -0.943750047771 -11.9835213373 23.1265734696 -6.35200717924 -0.943750047771 -6.35200717924 12.4945975369|
|10|2447.34115414|80.0591279984 11.3737687099 26.4191716881|30.954830131 1.35125534786 -15.5086483578 1.35125534786 19.1474523218 -5.72049406227 -15.5086483578 -5.72049406227 19.8328201936|
|11|1464.46838788|132.574851629 32.863185066 45.0101511548|43.9155795471 23.072458193 2.31592289487 23.072458193 48.4418540073 7.03308650816 2.31592289487 7.03308650816 8.30100364971|
|12|2063.21250592|110.83760025 5.86657057993 40.0819708372|25.0421976698 30.7791282754 15.144082377 30.7791282754 82.3591906339 35.7018430559 15.144082377 35.7018430559 23.9362277713|
|13|2265.76810653|92.7873337555 15.2388741489 28.085516306|89.1052684906 -2.07628273127 -2.83168166028 -2.07628273127 9.01472333386 -4.07536425749 -2.83168166028 -4.07536425749 25.8944368597|
|14|13.3627727657|122.426222866 19.0436247256 43.8723852702|34.3578836105 12.036679633 -3.76408577329 12.036679633 40.4431480287 7.81763368469 -3.76408577329 7.81763368469 12.6894894617|
